match_id,n_shots,goals_pdf,goals_expected,own_goals_inferred,goals_match,xg_home_pdf,xg_home_meta,subs_on,subs_off,subs_balanced,n_physical_rows,sub_flags
15,34,2,2,0,True,1.06,0.85,10,7,False,31,"Saudi Arabia FERAS ALBRIKAN: no lineup match for markers [3]; Saudi Arabia SAUD ABDULHAMID: unexplained markers [3] (mins=90, starting); Saudi Arabia MOTEB ALHARBI: unexplained markers [3] (mins=90, starting); Saudi Arabia ALA ALHAJJI: markers [3] far from expected 89; Saudi Arabia ABDULLAH ALHAMDDAN: markers [3] far from expected 89; Uruguay Maxi ARAUJO: no lineup match for markers [81, 80]; Saudi Arabia Mohammed Ali Lajami: sub implied by lineup minutes (1) but no PDF row parsed; Uruguay Maximiliano Javier Araujo: sub implied by lineup minutes (81) but no PDF row parsed"
16,31,4,4,0,True,1.85,1.88,9,7,False,29,"New Zealand Tim PAYNE: no lineup match for markers [78]; New Zealand Marko STAMENIC: unexplained markers [2] (mins=90, starting); New Zealand Sarpreet SINGH: unexplained markers [2] (mins=90, starting); New Zealand Callum McCOWATT: no lineup match for markers [68]; New Zealand Tyler BINDON Third: no lineup match for markers [2]; New Zealand Ben OLD: no lineup match for markers [68]; New Zealand Jesse RANDALL: markers [2] far from expected 89; IR Iran Ehsan Hajisafi: sub implied by lineup minutes (25) but no PDF row parsed; New Zealand Timothy John Payne: sub implied by lineup minutes (78) but no PDF row parsed; New Zealand Tyler Grant Bindon: sub implied by lineup minutes (1) but no PDF row parsed; New Zealand Benjamin Craig Old: sub implied by lineup minutes (22) but no PDF row parsed; New Zealand Mc: sub implied by lineup minutes (68) but no PDF row parsed"
17,17,4,4,0,True,1.62,2.44,7,7,True,26,"France Kylian MBAPPE: unexplained markers [6] (mins=90, starting)"
18,22,3,5,2,True,1.2,0.68,10,10,True,30,"Iraq HUSSEIN ALI: no lineup match for markers [73]; Iraq AYMEN HUSSEIN: unexplained markers [7] (mins=90, starting); Iraq AHMED QASEM: no lineup match for markers [73]; Norway Leo OSTIGARD Third: no lineup match for markers [76, 73]; Iraq Haydar Hussein Hussein: sub implied by lineup minutes (73) but no PDF row parsed; Iraq Ihab Ahmed Ahmed: sub implied by lineup minutes (17) but no PDF row parsed; Norway Leo Skiri Ostigard: sub implied by lineup minutes (17) but no PDF row parsed"
19,17,3,3,0,True,1.58,2.65,10,10,True,29,Argentina Nico GONZALEZ: no lineup match for markers [55]; Argentina Nico PAZ: no lineup match for markers [80]; Algeria Houssem AOUAR: no lineup match for markers [64]; Algeria Mohamed AMOURA: no lineup match for markers [64]; Argentina Nicolas Ivan Gonzalez: sub implied by lineup minutes (35) but no PDF row parsed; Argentina Nicolas Paz: sub implied by lineup minutes (10) but no PDF row parsed; Algeria Houssem-Eddine Chaabane Aouar: sub implied by lineup minutes (26) but no PDF row parsed; Algeria Mohammed Elamine Amoura: sub implied by lineup minutes (26) but no PDF row parsed
20,21,3,4,1,True,1.93,1.98,11,10,False,31,Jordan SALEEM OBAID: no lineup match for markers [72]; Jordan SAED ALROSAN: no lineup match for markers [81]; Austria Kevin Danso: sub implied by lineup minutes (31) but no PDF row parsed; Jordan Amer Saleem Saleem: sub implied by lineup minutes (18) but no PDF row parsed; Jordan Ahmad Salameh Saed: sub implied by lineup minutes (9) but no PDF row parsed
21,15,2,2,0,True,0.57,1.78,9,10,False,29,"Portugal NUNO MENDES: no lineup match for markers [72]; Portugal NELSON SEMEDO: no lineup match for markers [72, 88]; Portugal GONCALO RAMOS: no lineup match for markers [83]; Congo DR Aaron WAN BISSAKA: no lineup match for markers [85]; Congo DR Yoane WISSA: unexplained markers [5] (mins=90, starting); Portugal SEMEDONélson Nelson: sub implied by lineup minutes (18) but no PDF row parsed; Portugal RAMOSGonçalo Goncalo: sub implied by lineup minutes (7) but no PDF row parsed; Portugal Alexandre Nuno: sub implied by lineup minutes (72) but no PDF row parsed; Congo DR Wan Wan-Bissaka: sub implied by lineup minutes (85) but no PDF row parsed"
22,32,6,6,0,True,3.33,2.92,10,10,True,32,England Noni MADUEKE: no lineup match for markers [72]; England Marc GUEHI: no lineup match for markers [87]; England Djed SPENCE: no lineup match for markers [80]; England Keaninkin Marc-Isreal Guehi: sub implied by lineup minutes (3) but no PDF row parsed; England Bukayo Ayoyinka Saka: sub implied by lineup minutes (18) but no PDF row parsed; England Azuka Tristan Madueke: sub implied by lineup minutes (72) but no PDF row parsed; England Tehuti Djed-Hotep Spence: sub implied by lineup minutes (10) but no PDF row parsed
23,18,1,1,0,True,0.98,1.3,9,10,False,29,"Ghana Caleb YIRENKYI: unexplained markers [5] (mins=90, starting); Ghana Kamaldeen SULEMANA: no lineup match for markers [58]; Ghana Brandon THOMAS ASANTE: no lineup match for markers [58]; Ghana Brandon Michael Clarke Thomas-Asante: sub implied by lineup minutes (32) but no PDF row parsed; Ghana Kamal Deen Sulemana: sub implied by lineup minutes (58) but no PDF row parsed"
24,23,4,4,0,True,1.11,0.95,10,7,False,30,"Uzbekistan Rustam ASHURMATOV: no lineup match for markers [77]; Uzbekistan Eldor SHOMURODOV: unexplained markers [3] (mins=90, starting); Uzbekistan Igor SERGEEV: markers [3] far from expected 89; Colombia Luis DIAZ: unexplained markers [3] (mins=90, starting); Colombia Jhon ARIAS: unexplained markers [3] (mins=90, starting); Colombia Kevin CASTANO Third: no lineup match for markers [3]; Colombia Cucho HERNANDEZ: no lineup match for markers [80]; Colombia Andres GOMEZ: markers [3] far from expected 89; Uzbekistan Farrukh Sayfiev: sub implied by lineup minutes (44) but no PDF row parsed; Uzbekistan Rustamjon Ashurmatov: sub implied by lineup minutes (77) but no PDF row parsed; Colombia Kevin Duvan Castano: sub implied by lineup minutes (1) but no PDF row parsed; Colombia Juan Camilo Hernandez: sub implied by lineup minutes (10) but no PDF row parsed"
