team,player,minute,direction,source,match_id,total_distance_m,zone4_m,zone5_m,high_speed_runs,sprints,top_speed_kmh,phys_matched,minutes_played,break2,entry_vs_break,timing_group,is_gk
Curaçao,Kenji GORRE,75,on,pdf_marker,34,,,,,,,False,15,68.0,7.0,after_break,False
Curaçao,Jearl MARGARITHA,76,on,pdf_marker,34,2473.5,263.9,72.3,27.0,17.0,30.4,True,14,68.0,8.0,after_break,False
Curaçao,Gervane KASTANEER,83,on,pdf_marker,34,1306.6,83.4,10.7,12.0,9.0,28.4,True,7,68.0,15.0,after_break,False
Curaçao,Róshón Felix Romar Jordan Van Eijma,75,on,lineup_derived,34,1852.0,64.9,5.4,18.0,5.0,26.7,True,15,68.0,7.0,after_break,False
Netherlands,Memphis DEPAY,72,on,pdf_marker,35,2886.2,314.7,55.5,44.0,24.0,30.6,True,18,69.0,3.0,at_break,False
Netherlands,Guus TIL,59,on,pdf_marker,35,4267.3,297.4,150.7,56.0,28.0,30.0,True,31,69.0,-10.0,before_break,False
Netherlands,Noa LANG,90,on,pdf_marker,35,675.0,83.0,30.9,10.0,7.0,28.7,True,0,69.0,21.0,after_break,True
Netherlands,Teun KOOPMEINERS,59,on,pdf_marker,35,4388.1,298.2,47.8,65.0,22.0,29.3,True,31,69.0,-10.0,before_break,False
Netherlands,Crysencio SUMMERVILLE,45,on,pdf_marker,35,5169.9,378.6,162.7,53.0,33.0,31.6,True,45,69.0,-24.0,before_break,False
Sweden,Anthony ELANGA,55,on,pdf_marker,35,4005.8,302.9,224.2,28.0,25.0,36.5,True,35,69.0,-14.0,before_break,False
Sweden,Besfort ZENELI,56,on,pdf_marker,35,4952.0,388.5,102.3,83.0,32.0,30.0,True,34,69.0,-13.0,before_break,False
Sweden,Elliot STROUD,89,on,lineup_derived,35,393.0,39.1,69.0,5.0,2.0,29.2,True,1,69.0,20.0,after_break,True
Sweden,Taha ALI,79,on,pdf_marker,35,1803.9,162.8,40.0,26.0,11.0,29.2,True,11,69.0,10.0,after_break,False
Sweden,Lucas Erik Holger Bergvall,55,on,lineup_derived,35,4709.8,298.3,131.5,66.0,24.0,32.3,True,35,69.0,-14.0,before_break,False
Tunisia,Ismael GHARBI,45,on,pdf_marker,36,5432.9,238.3,96.9,65.0,23.0,31.0,True,45,70.0,-25.0,before_break,False
Tunisia,Rani KHEDIRA,89,on,lineup_derived,36,868.5,87.6,29.3,14.0,5.0,28.7,True,1,70.0,19.0,after_break,False
Tunisia,Firas CHAOUAT,64,on,pdf_marker,36,3340.8,187.6,78.4,47.0,16.0,31.6,True,26,70.0,-6.0,before_break,False
Tunisia,Mohamed Amine BEN HMIDA,45,on,pdf_marker,36,4901.4,130.1,101.5,30.0,12.0,32.9,True,45,70.0,-25.0,before_break,False
Japan,Yukinari SUGAWARA,74,on,pdf_marker,36,2445.7,112.3,107.0,16.0,10.0,32.6,True,16,70.0,4.0,after_break,False
Japan,Keisuke GOTO,85,on,pdf_marker,36,1396.3,126.1,137.8,15.0,10.0,31.1,True,5,70.0,15.0,after_break,False
Japan,Yuito SUZUKI,79,on,pdf_marker,36,2226.6,143.2,213.8,32.0,14.0,33.6,True,11,70.0,9.0,after_break,False
Japan,Ayumu SEKO,79,on,pdf_marker,36,1869.7,42.2,15.0,16.0,4.0,26.5,True,11,70.0,9.0,after_break,False
Japan,Junnosuke SUZUKI,73,on,pdf_marker,36,2449.6,273.4,48.0,29.0,18.0,28.6,True,17,70.0,3.0,at_break,False
Tunisia,Mohamed Elyes Achouri,89,on,lineup_derived,36,,,,,,,False,1,70.0,19.0,after_break,False
Belgium,Dodi LUKEBAKIO,58,on,pdf_marker,37,4193.4,282.1,51.5,50.0,27.0,28.5,True,32,70.0,-12.0,before_break,False
Belgium,Hans VANAKEN,58,on,pdf_marker,37,4462.7,184.4,50.9,60.0,13.0,27.7,True,32,70.0,-12.0,before_break,False
Belgium,Timothy CASTAGNE,58,on,pdf_marker,37,5100.9,371.1,86.8,88.0,31.0,29.7,True,32,70.0,-12.0,before_break,False
IR Iran,Milad MOHAMMADI,66,on,pdf_marker,37,3423.9,218.5,86.9,48.0,20.0,29.0,True,24,70.0,-4.0,before_break,False
IR Iran,Alireza JAHANBAKHSH Third,45,on,pdf_marker,37,5639.8,320.5,94.7,72.0,25.0,30.1,True,45,70.0,-25.0,before_break,False
IR Iran,Amirhossein HOSSEINZADEH,85,on,pdf_marker,37,1288.1,84.8,7.5,24.0,8.0,26.0,True,5,70.0,15.0,after_break,False
IR Iran,Shahriyar MOGHANLOO,79,on,pdf_marker,37,2345.7,182.8,1.9,38.0,12.0,25.3,True,11,70.0,9.0,after_break,False
Belgium,Arthur Nicolas Theate,73,on,lineup_derived,37,2586.9,104.7,22.1,22.0,9.0,29.7,True,17,70.0,3.0,at_break,False
Belgium,Matias Fernandez-Pardo,87,on,lineup_derived,37,1189.8,96.7,55.6,17.0,8.0,34.4,True,3,70.0,17.0,after_break,False
IR Iran,Mahdi Torabi,66,on,lineup_derived,37,3461.7,256.6,13.7,65.0,18.0,27.6,True,24,70.0,-4.0,before_break,False
New Zealand,Francis DE VRIES,85,on,pdf_marker,38,1935.8,195.7,119.6,32.0,14.0,31.8,True,5,72.0,13.0,after_break,False
New Zealand,Jesse RANDALL,76,on,pdf_marker,38,2812.6,225.5,243.2,23.0,19.0,34.6,True,14,72.0,4.0,after_break,False
New Zealand,Ryan THOMAS,76,on,pdf_marker,38,2952.2,324.0,87.3,55.0,23.0,30.5,True,14,72.0,4.0,after_break,False
Egypt,RAMY RABIA,41,on,pdf_marker,38,6403.0,310.0,98.4,72.0,21.0,31.2,True,49,72.0,-31.0,before_break,False
Egypt,MOHAMED ABDELMONEIM,89,on,lineup_derived,38,363.8,50.4,12.1,11.0,4.0,26.1,True,1,72.0,17.0,after_break,True
Egypt,TREZEGUET,76,on,pdf_marker,38,2941.4,217.3,139.5,42.0,21.0,32.7,True,14,72.0,4.0,after_break,False
Egypt,HAMZA ABDELKARIM,76,on,pdf_marker,38,2747.8,207.9,145.7,33.0,18.0,29.1,True,14,72.0,4.0,after_break,False
Egypt,ZIZO,85,on,pdf_marker,38,1841.2,158.1,219.2,15.0,9.0,32.6,True,5,72.0,13.0,after_break,False
New Zealand,Tyler Grant Bindon,85,on,lineup_derived,38,1854.2,152.4,68.9,27.0,9.0,31.7,True,5,72.0,13.0,after_break,False
New Zealand,Benjamin Craig Old,66,on,lineup_derived,38,3514.5,353.0,236.1,49.0,27.0,30.8,True,24,72.0,-6.0,before_break,False
Egypt,Abdelmegeed Abdelsalam Hossam Abdelmaguid,84,on,lineup_derived,38,1047.9,83.0,15.4,9.0,8.0,27.5,True,6,72.0,12.0,after_break,True
Spain,Mikel MERINO,61,on,pdf_marker,39,4299.7,270.6,16.1,74.0,19.0,26.4,True,29,68.0,-7.0,before_break,False
Spain,Ferran TORRES,45,on,pdf_marker,39,4999.4,267.1,152.9,44.0,25.0,32.3,True,45,68.0,-23.0,before_break,False
Spain,Fabian RUIZ,70,on,pdf_marker,39,3150.6,120.5,13.1,46.0,9.0,26.7,True,20,68.0,2.0,at_break,False
Spain,Yeremy PINO,45,on,pdf_marker,39,5673.8,452.4,136.2,80.0,31.0,29.8,True,45,68.0,-23.0,before_break,False
Saudi Arabia,KHALID ALGHANNAM,90,on,pdf_marker,39,790.3,36.6,10.0,4.0,18.0,23.4,True,0,68.0,22.0,after_break,True
Saudi Arabia,ALA ALHAJJI,60,on,pdf_marker,39,,,,,,,False,30,68.0,-8.0,before_break,False
Saudi Arabia,ABDULLAH ALHAMDDAN,45,on,pdf_marker,39,6031.9,464.4,141.7,100.0,32.0,30.5,True,45,68.0,-23.0,before_break,False
Saudi Arabia,MOHAMMED ABU ALSHAMAT,60,on,pdf_marker,39,3905.9,274.2,98.4,51.0,20.0,31.3,True,30,68.0,-8.0,before_break,False
Spain,Nicholas Williams,61,on,lineup_derived,39,3547.7,260.0,142.9,41.0,25.0,33.7,True,29,68.0,-7.0,before_break,False
Saudi Arabia,Ibrahim Mohamed,46,on,lineup_derived,39,5336.4,248.9,128.1,69.0,19.0,29.9,True,44,68.0,-22.0,before_break,False
Uruguay,Nicolas DE LA CRUZ,70,on,pdf_marker,40,2893.1,258.9,133.1,40.0,20.0,29.9,True,20,71.0,-1.0,at_break,False
Uruguay,Darwin NUNEZ,70,on,pdf_marker,40,2699.2,162.3,179.7,20.0,14.0,34.6,True,20,71.0,-1.0,at_break,False
Uruguay,Brian RODRIGUEZ,82,on,pdf_marker,40,1849.7,122.1,96.1,29.0,13.0,34.9,True,8,71.0,11.0,after_break,False
Cabo Verde,DEROY DUARTE,45,on,pdf_marker,40,5187.8,192.1,70.2,54.0,15.0,30.0,True,45,71.0,-26.0,before_break,False
Cabo Verde,LAROS DUARTE,71,on,pdf_marker,40,3079.2,133.2,40.6,45.0,12.0,29.3,True,19,71.0,0.0,at_break,False
