team,player,minute,direction,source,match_id,total_distance_m,zone4_m,zone5_m,high_speed_runs,sprints,top_speed_kmh,phys_matched,minutes_played,break2,entry_vs_break,timing_group,is_gk
South Africa,Tshepang MOREMI,62,on,lineup_derived,50,4272.2,347.3,170.7,51.0,30.0,33.0,True,28,69.0,-7.0,before_break,False
South Africa,Iqraam RAYNERS,75,on,pdf_marker,50,2481.5,173.8,109.5,28.0,15.0,30.6,True,15,69.0,6.0,after_break,False
South Africa,Jayden ADAMS,80,on,pdf_marker,50,2192.7,153.4,8.5,30.0,11.0,26.4,True,10,69.0,11.0,after_break,False
South Korea,CHO Guesung,74,on,pdf_marker,50,,,,,,,False,16,69.0,5.0,after_break,False
South Korea,PARK Jinseob,65,on,pdf_marker,50,,,,,,,False,25,69.0,-4.0,before_break,False
South Korea,CASTROP Jens,45,on,pdf_marker,50,,,,,,,False,45,69.0,-24.0,before_break,False
South Korea,KIM Jingyu,45,on,pdf_marker,50,,,,,,,False,45,69.0,-24.0,before_break,False
South Korea,Heung Min Son,46,on,lineup_derived,50,,,,,,,False,44,69.0,-23.0,before_break,False
Switzerland,Dan NDOYE,80,on,pdf_marker,51,2053.9,162.6,44.5,31.0,15.0,27.8,True,10,71.0,9.0,after_break,False
Switzerland,Christian FASSNACHT,85,on,pdf_marker,51,1743.8,192.5,71.6,31.0,14.0,31.7,True,5,71.0,14.0,after_break,False
Switzerland,Michel AEBISCHER,74,on,pdf_marker,51,2903.7,270.4,88.6,51.0,22.0,31.3,True,16,71.0,3.0,at_break,False
Switzerland,Cedric ITTEN,85,on,pdf_marker,51,1632.0,121.4,9.6,22.0,11.0,27.7,True,5,71.0,14.0,after_break,False
Canada,Stephen EUSTAQUIO,58,on,pdf_marker,51,4815.2,206.0,26.6,79.0,12.0,26.9,True,32,71.0,-13.0,before_break,False
Canada,Liam MILLAR,58,on,pdf_marker,51,4328.5,229.0,188.6,51.0,19.0,32.0,True,32,71.0,-13.0,before_break,False
Canada,Jacob SHAFFELBURG,83,on,pdf_marker,51,1952.7,239.8,70.4,27.0,17.0,29.5,True,7,71.0,12.0,after_break,False
Canada,Promise DAVID,74,on,lineup_derived,51,2194.3,126.6,30.9,21.0,10.0,30.1,True,16,71.0,3.0,at_break,False
Switzerland,Silvan Dominic Widmer,74,on,lineup_derived,51,2335.4,112.2,30.9,35.0,10.0,27.1,True,16,71.0,3.0,at_break,False
Canada,Tanitoluwa Oluwatimilehin Oluwaseyi,58,on,lineup_derived,51,3749.9,239.9,102.1,42.0,22.0,33.7,True,32,71.0,-13.0,before_break,False
Bosnia and Herzegovina,Benjamin TAHIROVIC,45,on,pdf_marker,52,5809.0,336.2,113.4,74.0,24.0,30.9,True,45,69.0,-24.0,before_break,False
Bosnia and Herzegovina,Amar MEMIC,45,on,pdf_marker,52,5330.0,394.1,226.7,54.0,32.0,31.7,True,45,69.0,-24.0,before_break,False
Bosnia and Herzegovina,Dzenis BURNIC,82,on,pdf_marker,52,1721.5,101.5,20.7,22.0,8.0,28.4,True,8,69.0,13.0,after_break,False
Bosnia and Herzegovina,Ermin MAHMIC,64,on,pdf_marker,52,4063.9,286.7,142.6,57.0,23.0,30.3,True,26,69.0,-5.0,before_break,False
Qatar,AHMED ALAAELDIN,79,on,pdf_marker,52,1839.7,136.4,40.0,22.0,12.0,27.3,True,11,69.0,10.0,after_break,False
Qatar,AHMED ALGANEHI,55,on,pdf_marker,52,4200.6,340.5,139.1,51.0,24.0,30.0,True,35,69.0,-14.0,before_break,False
Qatar,ALMOEZ ALI,72,on,pdf_marker,52,2859.0,140.8,17.2,38.0,11.0,26.6,True,18,69.0,3.0,at_break,False
Qatar,MOHAMED MANAI,79,on,pdf_marker,52,,,,,,,False,11,69.0,10.0,after_break,False
Bosnia and Herzegovina,Dennis Hadzikadunic,63,on,lineup_derived,52,3338.8,114.9,46.3,32.0,11.0,28.3,True,27,69.0,-6.0,before_break,False
Qatar,Hatim Abdulaziz Hatem,46,on,lineup_derived,52,5827.0,424.4,31.1,86.0,28.0,27.1,True,44,69.0,-23.0,before_break,False
Scotland,Kieran TIERNEY,45,on,pdf_marker,53,5462.9,246.0,165.9,51.0,26.0,32.6,True,45,68.0,-23.0,before_break,False
Scotland,Che ADAMS,89,on,lineup_derived,53,703.1,69.6,4.0,16.0,4.0,25.6,True,1,68.0,21.0,after_break,False
Scotland,Ryan CHRISTIE,82,on,pdf_marker,53,1943.6,82.8,58.0,29.0,7.0,31.4,True,8,68.0,14.0,after_break,False
Scotland,Anthony RALSTON,82,on,pdf_marker,53,1776.7,75.6,40.4,17.0,6.0,27.6,True,8,68.0,14.0,after_break,False
Scotland,Findlay CURTIS,89,on,lineup_derived,53,811.2,29.3,73.1,11.0,4.0,33.8,True,1,68.0,21.0,after_break,True
Brazil,ALEX SANDRO Third,82,on,pdf_marker,53,1822.5,114.8,14.6,31.0,8.0,26.6,True,8,68.0,14.0,after_break,False
Brazil,NEYMAR JR,76,on,pdf_marker,53,2431.0,141.2,15.4,33.0,8.0,26.4,True,14,68.0,8.0,after_break,False
Brazil,FABINHO,65,on,pdf_marker,53,3200.6,88.2,8.9,36.0,8.0,27.4,True,25,68.0,-3.0,at_break,False
Brazil,ENDRICK,82,on,pdf_marker,53,1569.0,92.9,123.8,13.0,9.0,33.9,True,8,68.0,14.0,after_break,False
Brazil,MARTINELLIGabriel Gabriel,66,on,lineup_derived,53,,,,,,,False,24,68.0,-2.0,at_break,False
Morocco,Noussair MAZRAOUI,83,on,pdf_marker,54,1298.7,54.4,11.0,4.0,8.0,23.8,True,7,68.0,15.0,after_break,True
Morocco,Soufiane RAHIMI,70,on,pdf_marker,54,3005.4,283.1,92.0,40.0,20.0,29.8,True,20,68.0,2.0,at_break,False
Morocco,Samir EL MOURABET,83,on,pdf_marker,54,1477.3,93.7,21.5,24.0,7.0,27.2,True,7,68.0,15.0,after_break,False
Morocco,Gessime YASSINE,70,on,pdf_marker,54,2611.7,256.1,21.1,23.0,15.0,26.2,True,20,68.0,2.0,at_break,False
Haiti,Carlens ARCUS,80,on,pdf_marker,54,1676.5,209.7,89.6,24.0,12.0,30.2,True,10,68.0,12.0,after_break,False
Haiti,Duckens NAZON,67,on,pdf_marker,54,2597.1,65.6,50.8,27.0,8.0,27.7,True,23,68.0,-1.0,at_break,False
Haiti,Frantzdy PIERROT,83,on,pdf_marker,54,1239.7,69.4,9.4,12.0,3.0,26.4,True,7,68.0,15.0,after_break,False
Haiti,Dominique SIMON,80,on,pdf_marker,54,1780.0,125.9,14.4,35.0,7.0,26.0,True,10,68.0,12.0,after_break,False
Morocco,Azz-Eddine Ounahi,70,on,lineup_derived,54,8458.6,380.4,241.9,84.0,32.0,32.4,True,20,68.0,2.0,at_break,False
Haiti,Don Deedson Deedson,67,on,lineup_derived,54,2617.0,175.8,119.7,28.0,15.0,31.4,True,23,68.0,-1.0,at_break,False
Türkiye,Irfan Can KAHVECI,89,on,lineup_derived,55,,,,,,,False,1,67.0,22.0,after_break,False
Türkiye,Kaan AYHAN,88,on,pdf_marker,55,1239.0,97.9,77.0,13.0,7.0,30.6,True,2,67.0,21.0,after_break,False
Türkiye,Can UZUN,84,on,pdf_marker,55,,,,,,,False,6,67.0,17.0,after_break,False
USA,Sergino DEST,76,on,pdf_marker,55,2819.4,202.5,136.9,40.0,18.0,32.9,True,14,67.0,9.0,after_break,False
USA,Christian PULISIC,58,on,pdf_marker,55,4955.8,287.8,151.5,67.0,24.0,32.4,True,32,67.0,-9.0,before_break,False
USA,Malik TILLMAN,86,on,pdf_marker,55,1432.0,77.0,20.5,22.0,4.0,26.8,True,4,67.0,19.0,after_break,False
Türkiye,Ça ğ lar Soyuncu,84,on,lineup_derived,55,1394.5,32.3,9.0,3.0,17.0,24.2,True,6,67.0,17.0,after_break,True
USA,Alexander Michael Freeman,76,on,lineup_derived,55,2513.3,167.4,96.9,30.0,11.0,29.8,True,14,67.0,9.0,after_break,False
USA,Alejandro Zendejas,76,on,lineup_derived,55,3064.7,287.6,50.4,53.0,20.0,27.9,True,14,67.0,9.0,after_break,False
Paraguay,MAURICIO,45,on,pdf_marker,56,,,,,,,False,45,68.0,-23.0,before_break,False
Paraguay,Jose CANALE,84,on,pdf_marker,56,10661.4,453.2,150.0,147.0,35.0,32.3,True,6,68.0,16.0,after_break,False
Paraguay,Damian BOBADILLA,89,on,lineup_derived,56,578.2,60.0,3.1,10.0,5.0,25.4,True,1,68.0,21.0,after_break,True
Paraguay,Alex ARCE,67,on,pdf_marker,56,3357.5,255.2,84.2,55.0,19.0,29.6,True,23,68.0,-1.0,at_break,False
Australia,Ajdin HRUSTIC,58,on,pdf_marker,56,4673.2,347.5,128.7,82.0,29.0,29.0,True,32,68.0,-10.0,before_break,False
Australia,Tete YENGI,84,on,pdf_marker,56,,,,,,,False,6,68.0,16.0,after_break,False
Paraguay,Júnior Osmar Ignacio Alonso,89,on,lineup_derived,56,466.9,26.1,8.0,2.0,11.0,23.7,True,1,68.0,21.0,after_break,True
Australia,Paul Michael Junior Okon-Engstler,84,on,lineup_derived,56,1489.8,108.4,29.0,7.0,26.0,23.4,True,6,68.0,16.0,after_break,True
Ecuador,Felix TORRES,85,on,pdf_marker,57,,,,,,,False,5,69.0,16.0,after_break,False
Ecuador,Pervis ESTUPINAN,71,on,pdf_marker,57,2912.7,184.0,40.3,47.0,14.0,27.0,True,19,69.0,2.0,at_break,False
Ecuador,Kevin RODRIGUEZ,64,on,pdf_marker,57,3638.4,282.4,114.9,44.0,26.0,32.5,True,26,69.0,-5.0,before_break,False
Ecuador,Jordy CAICEDO,85,on,pdf_marker,57,1531.0,67.3,13.4,21.0,8.0,26.7,True,5,69.0,16.0,after_break,False
Ecuador,Angelo PRECIADO,64,on,pdf_marker,57,3528.7,190.2,124.5,43.0,15.0,31.4,True,26,69.0,-5.0,before_break,False
Germany,Pascal GROSS,73,on,pdf_marker,57,3218.5,239.1,31.8,58.0,15.0,30.7,True,17,69.0,4.0,after_break,False
Germany,Maximilian BEIER,64,on,pdf_marker,57,3573.9,203.4,177.9,46.0,16.0,32.7,True,26,69.0,-5.0,before_break,False
Germany,Angelo STILLER,45,on,pdf_marker,57,5947.3,255.4,53.9,85.0,18.0,26.6,True,45,69.0,-24.0,before_break,False
Germany,Malick THIAW,60,on,pdf_marker,57,3878.9,204.7,23.5,51.0,15.0,26.5,True,30,69.0,-9.0,before_break,False
Germany,Deniz UNDAV,60,on,pdf_marker,57,3667.3,190.9,40.7,46.0,14.0,26.4,True,30,69.0,-9.0,before_break,False
Curaçao,Shurandy SAMBO,90,on,pdf_marker,58,726.3,54.7,9.0,4.0,11.0,24.9,True,0,68.0,22.0,after_break,True
Curaçao,Jeremy ANTONISSE,62,on,pdf_marker,58,,,,,,,False,28,68.0,-6.0,before_break,False
Curaçao,Tyrese NOSLIN,77,on,pdf_marker,58,2453.1,281.9,86.9,42.0,19.0,30.7,True,13,68.0,9.0,after_break,False
Curaçao,Brandley KUWAS,90,on,pdf_marker,58,839.6,101.5,14.9,16.0,7.0,29.2,True,0,68.0,22.0,after_break,False
Curaçao,Gervane KASTANEER,77,on,pdf_marker,58,1961.0,87.8,28.4,21.0,7.0,27.6,True,13,68.0,9.0,after_break,False
Côte d'Ivoire,Jean Michael SERI Third,77,on,pdf_marker,58,2281.4,97.6,26.7,28.0,7.0,27.2,True,13,68.0,9.0,after_break,False
Côte d'Ivoire,Elye WAHI,67,on,pdf_marker,58,2826.7,208.8,115.9,37.0,19.0,29.5,True,23,68.0,-1.0,at_break,False
Côte d'Ivoire,Oumar DIAKITE,67,on,pdf_marker,58,2889.6,118.8,164.0,24.0,11.0,32.1,True,23,68.0,-1.0,at_break,False
Côte d'Ivoire,Bazoumana TOURE,67,on,pdf_marker,58,3173.4,213.2,138.0,40.0,18.0,30.4,True,23,68.0,-1.0,at_break,False
Côte d'Ivoire,Christ Inao OULAI,45,on,pdf_marker,58,5009.2,200.8,24.9,58.0,17.0,26.4,True,45,68.0,-23.0,before_break,False
Tunisia,Mortadha BEN OUANES,68,on,pdf_marker,59,3379.0,196.6,74.2,38.0,18.0,28.6,True,22,69.0,-1.0,at_break,False
Tunisia,Mohamed HADJ MAHMOUD,67,on,pdf_marker,59,3364.0,224.0,119.9,37.0,18.0,29.8,True,23,69.0,-2.0,at_break,False
Tunisia,Firas CHAOUAT,75,on,pdf_marker,59,2418.8,161.1,121.4,25.0,13.0,34.4,True,15,69.0,6.0,after_break,False
Tunisia,Sebastian TOUNEKTI,90,on,pdf_marker,59,754.4,59.3,27.1,9.0,6.0,29.0,True,0,69.0,21.0,after_break,True
Netherlands,Justin KLUIVERT,72,on,pdf_marker,59,2836.5,172.0,87.2,44.0,14.0,30.1,True,18,69.0,3.0,at_break,False
Netherlands,Memphis DEPAY,77,on,pdf_marker,59,2207.1,92.9,31.3,40.0,6.0,29.7,True,13,69.0,8.0,after_break,False
Netherlands,Noa LANG,84,on,pdf_marker,59,1447.2,106.0,15.2,25.0,5.0,26.1,True,6,69.0,15.0,after_break,False
Netherlands,Teun KOOPMEINERS,72,on,pdf_marker,59,2954.1,84.4,14.1,38.0,5.0,25.6,True,18,69.0,3.0,at_break,False
Netherlands,Crysencio SUMMERVILLE,72,on,pdf_marker,59,2549.1,157.2,68.6,26.0,16.0,29.2,True,18,69.0,3.0,at_break,False
Tunisia,Mohamed Elyes Achouri,67,on,lineup_derived,59,,,,,,,False,23,69.0,-2.0,at_break,False
Japan,Shogo TANIGUCHI,39,on,pdf_marker,60,5742.3,184.2,50.0,60.0,18.0,30.4,True,51,68.0,-29.0,before_break,False
Japan,Junya ITO,66,on,pdf_marker,60,2730.8,112.6,89.3,23.0,10.0,33.3,True,24,68.0,-2.0,at_break,False
Japan,Tsuyoshi WATANABE,75,on,pdf_marker,60,2089.6,79.7,23.7,23.0,6.0,27.7,True,15,68.0,7.0,after_break,False
Japan,Koki OGAWA,66,on,pdf_marker,60,3089.8,108.7,10.9,43.0,11.0,25.7,True,24,68.0,-2.0,at_break,False
Sweden,Daniel SVENSSON,75,on,pdf_marker,60,2559.6,189.7,32.8,30.0,13.0,27.9,True,15,68.0,7.0,after_break,False
Sweden,Benjamin NYGREN,88,on,pdf_marker,60,1221.1,133.3,9.6,20.0,11.0,27.5,True,2,68.0,20.0,after_break,False
Sweden,Ken SEMA,75,on,pdf_marker,60,2294.5,97.8,16.8,22.0,7.0,27.7,True,15,68.0,7.0,after_break,False
Sweden,Carl STARFELT,87,on,pdf_marker,60,1116.7,48.3,7.2,8.0,3.0,26.3,True,3,68.0,19.0,after_break,True
Japan,Yuto Nagatomo,75,on,lineup_derived,60,2551.7,121.2,78.3,38.0,9.0,28.6,True,15,68.0,7.0,after_break,False
Sweden,Lucas Erik Holger Bergvall,37,on,lineup_derived,60,7566.7,344.4,105.6,98.0,31.0,32.6,True,53,68.0,-31.0,before_break,False
New Zealand,Francis DE VRIES,79,on,pdf_marker,61,1986.0,102.1,120.1,24.0,10.0,32.3,True,11,69.0,10.0,after_break,False
New Zealand,Jesse RANDALL,45,on,pdf_marker,61,5847.2,517.2,269.1,76.0,44.0,33.5,True,45,69.0,-24.0,before_break,False
Belgium,Romelu LUKAKU,85,on,lineup_derived,61,1200.9,55.0,105.3,11.0,5.0,30.9,True,5,69.0,16.0,after_break,True
Belgium,Alexis SAELEMAEKERS,72,on,pdf_marker,61,2932.9,187.4,197.7,31.0,13.0,32.3,True,18,69.0,3.0,at_break,False
Belgium,Nicolas RASKIN,85,on,pdf_marker,61,1415.8,139.5,7.8,19.0,8.0,25.4,True,5,69.0,16.0,after_break,False
Belgium,Amadou ONANA,72,on,pdf_marker,61,2887.8,146.5,55.6,40.0,11.0,30.4,True,18,69.0,3.0,at_break,False
New Zealand,Michael Joseph Boxall,64,on,lineup_derived,61,2884.9,150.2,188.6,19.0,12.0,32.9,True,26,69.0,-5.0,before_break,False
New Zealand,Benjamin Craig Old,46,on,lineup_derived,61,5818.8,456.7,211.2,79.0,32.0,32.2,True,44,69.0,-23.0,before_break,False
New Zealand,Mc,64,on,lineup_derived,61,,,,,,,False,26,69.0,-5.0,before_break,False
Belgium,Matias Fernandez-Pardo,56,on,lineup_derived,61,4605.6,370.2,325.5,46.0,32.0,34.8,True,34,69.0,-13.0,before_break,False
Egypt,HAMZA ABDELKARIM,76,on,pdf_marker,62,2641.9,146.0,51.4,37.0,10.0,29.4,True,14,69.0,7.0,after_break,False
Egypt,MARAWAN ATTIA,45,on,pdf_marker,62,6165.5,356.4,79.0,94.0,29.0,29.3,True,45,69.0,-24.0,before_break,False
Egypt,ZIZO,57,on,pdf_marker,62,4336.6,303.2,117.2,46.0,21.0,28.9,True,33,69.0,-12.0,before_break,False
IR Iran,Saleh HARDANI,45,on,pdf_marker,62,5015.5,211.0,117.5,55.0,20.0,31.7,True,45,69.0,-24.0,before_break,False
IR Iran,Alireza JAHANBAKHSH,89,on,lineup_derived,62,877.2,40.4,44.9,12.0,5.0,29.0,True,1,69.0,20.0,after_break,False
IR Iran,Shahriyar MOGHANLOO,67,on,pdf_marker,62,3624.5,144.1,36.2,53.0,11.0,28.9,True,23,69.0,-2.0,at_break,False
Egypt,Ahmed Ibrahim Yasser,14,on,lineup_derived,62,8890.2,399.8,159.7,104.0,32.0,33.4,True,76,69.0,-55.0,before_break,False
Egypt,Mohamed Abdelsalam Omar,46,on,lineup_derived,62,,,,,,,False,44,69.0,-23.0,before_break,False
Uruguay,Sergio ROCHET,45,on,pdf_marker,63,3079.4,27.3,16.5,6.0,3.0,28.2,True,45,68.0,-23.0,before_break,True
Uruguay,Nicolas DE LA CRUZ,45,on,pdf_marker,63,6185.9,445.2,128.3,90.0,29.0,29.6,True,45,68.0,-23.0,before_break,False
Uruguay,Brian RODRIGUEZ,70,on,pdf_marker,63,2790.6,184.5,36.7,34.0,14.0,29.2,True,20,68.0,2.0,at_break,False
Uruguay,Federico VINAS,57,on,pdf_marker,63,3897.5,274.5,91.3,38.0,21.0,29.1,True,33,68.0,-11.0,before_break,False
Spain,Ferran TORRES,76,on,pdf_marker,63,2150.0,109.3,59.0,22.0,11.0,30.6,True,14,68.0,8.0,after_break,False
Spain,Fabian RUIZ,60,on,pdf_marker,63,4086.2,126.7,59.1,55.0,12.0,30.1,True,30,68.0,-8.0,before_break,False
Spain,Yeremy PINO,66,on,pdf_marker,63,3173.1,219.5,84.0,34.0,14.0,30.7,True,24,68.0,-2.0,at_break,False
Spain,Daniel Olmo,60,on,lineup_derived,63,3833.6,172.5,56.5,56.0,17.0,28.8,True,30,68.0,-8.0,before_break,False
Spain,Nicholas Williams,76,on,lineup_derived,63,2121.9,128.1,61.1,16.0,12.0,31.5,True,14,68.0,8.0,after_break,False
Cabo Verde,LAROS DUARTE,71,on,pdf_marker,64,3113.6,148.6,90.5,42.0,11.0,31.8,True,19,69.0,2.0,at_break,False
Cabo Verde,NUNO DA COSTA,61,on,pdf_marker,64,3420.3,193.9,95.1,28.0,16.0,30.1,True,29,69.0,-8.0,before_break,False
Cabo Verde,HELIO VARELA,61,on,pdf_marker,64,4025.9,249.0,129.9,58.0,22.0,31.4,True,29,69.0,-8.0,before_break,False
Saudi Arabia,MUSAB ALJUWAYR,45,on,pdf_marker,64,6394.5,406.5,33.6,98.0,28.0,29.5,True,45,69.0,-24.0,before_break,False
Saudi Arabia,ABDULLAH ALHAMDDAN,66,on,pdf_marker,64,3783.1,373.2,65.4,56.0,26.0,31.6,True,24,69.0,-3.0,at_break,False
Saudi Arabia,MOTEB ALHARBI,82,on,pdf_marker,64,1761.6,196.6,140.7,20.0,18.0,33.3,True,8,69.0,13.0,after_break,False
Saudi Arabia,MOHAMMED ABU ALSHAMAT,66,on,pdf_marker,64,3748.4,268.8,102.9,58.0,21.0,28.8,True,24,69.0,-3.0,at_break,False
Cabo Verde,RODRIGUESGarry Garry,71,on,lineup_derived,64,3101.9,267.7,99.5,49.0,20.0,31.2,True,19,69.0,2.0,at_break,False
Cabo Verde,MOREIRASteven Steven,89,on,lineup_derived,64,,,,,,,False,1,69.0,20.0,after_break,False
Saudi Arabia,Mohammed Ali Lajami,33,on,lineup_derived,64,6813.2,366.7,85.8,56.0,21.0,30.6,True,57,69.0,-36.0,before_break,False
Norway,Morten THORSBY,45,on,pdf_marker,65,6152.6,389.1,146.0,107.0,30.0,29.8,True,45,68.0,-23.0,before_break,False
Norway,Marcus HOLMGREN PEDERSEN,45,on,pdf_marker,65,5262.5,294.0,161.5,47.0,24.0,35.6,True,45,68.0,-23.0,before_break,False
Norway,Antonio NUSA,83,on,pdf_marker,65,1389.8,61.8,32.9,18.0,7.0,30.4,True,7,68.0,15.0,after_break,False
Norway,Jens Petter HAUGE,83,on,pdf_marker,65,1718.7,153.2,47.3,26.0,14.0,29.2,True,7,68.0,15.0,after_break,False
Norway,Sondre LANGAS,67,on,pdf_marker,65,2880.7,122.1,128.3,26.0,11.0,35.5,True,23,68.0,-1.0,at_break,False
France,Malo GUSTO,87,on,pdf_marker,65,953.5,30.2,7.0,3.0,12.0,23.4,True,3,68.0,19.0,after_break,True
France,Bradley BARCOLA,65,on,pdf_marker,65,,,,,,,False,25,68.0,-3.0,at_break,False
France,Ibrahima KONATE,76,on,pdf_marker,65,1968.4,40.2,18.0,3.0,22.0,24.7,True,14,68.0,8.0,after_break,True
France,Rayan CHERKI,65,on,pdf_marker,65,3592.1,244.1,87.1,45.0,16.0,29.4,True,25,68.0,-3.0,at_break,False
France,Jean-Philippe Mateta,86,on,lineup_derived,65,,,,,,,False,4,68.0,18.0,after_break,False
Senegal,Pathe CISS,58,on,pdf_marker,66,3784.9,181.6,29.1,38.0,11.0,26.9,True,32,67.0,-9.0,before_break,False
Senegal,Assane DIAO,81,on,pdf_marker,66,1835.5,158.4,48.6,23.0,12.0,29.6,True,9,67.0,14.0,after_break,False
Senegal,Nicolas JACKSON,57,on,pdf_marker,66,3855.2,172.2,63.9,33.0,13.0,30.7,True,33,67.0,-10.0,before_break,False
Senegal,Iliman NDIAYE,57,on,pdf_marker,66,4404.8,237.3,146.5,56.0,21.0,32.6,True,33,67.0,-10.0,before_break,False
Senegal,Pape GUEYE,57,on,pdf_marker,66,4418.2,240.9,58.3,54.0,19.0,28.4,True,33,67.0,-10.0,before_break,False
Iraq,JALAL HASSAN,45,on,pdf_marker,66,,,,,,,False,45,67.0,-22.0,before_break,False
Iraq,MUNAF YOUNUS,16,on,pdf_marker,66,8749.7,297.6,78.2,63.0,22.0,30.1,True,74,67.0,-51.0,before_break,False
Iraq,ALI YOUSIF,58,on,pdf_marker,66,4539.7,338.1,150.2,69.0,22.0,32.4,True,32,67.0,-9.0,before_break,False
Iraq,AHMED MAKNAZI,58,on,pdf_marker,66,4276.4,227.8,95.7,55.0,16.0,29.7,True,32,67.0,-9.0,before_break,False
Iraq,KEVIN YAKOB,67,on,pdf_marker,66,3609.1,190.1,29.3,47.0,15.0,27.8,True,23,67.0,0.0,at_break,False
Jordan,MOUSA ALTAMARI,45,on,pdf_marker,67,5270.7,375.3,205.9,61.0,29.0,31.6,True,45,68.0,-23.0,before_break,False
Jordan,MAHMOUD ALMARDI,45,on,pdf_marker,67,5904.1,366.5,71.9,94.0,27.0,30.1,True,45,68.0,-23.0,before_break,False
Argentina,Valentin BARCO,71,on,pdf_marker,67,2814.6,216.7,32.8,41.0,14.0,28.2,True,19,68.0,3.0,at_break,False
Argentina,Lionel MESSI,60,on,pdf_marker,67,2517.2,116.7,3.4,16.0,9.0,25.7,True,30,68.0,-8.0,before_break,False
Argentina,Thiago ALMADA,60,on,pdf_marker,67,3789.6,320.3,76.1,51.0,22.0,29.2,True,30,68.0,-8.0,before_break,False
Argentina,Alexis MAC ALLISTER,61,on,pdf_marker,67,3505.6,148.7,7.0,43.0,10.0,26.4,True,29,68.0,-7.0,before_break,False
Argentina,Jose Manuel LOPEZ,82,on,pdf_marker,67,1465.8,124.4,18.5,22.0,11.0,27.6,True,8,68.0,14.0,after_break,False
Jordan,Rasem Adel Amer Jamous,76,on,lineup_derived,67,2137.0,152.2,19.8,48.0,10.0,27.1,True,14,68.0,8.0,after_break,False
Jordan,Faisal Yousef Mohammad,89,on,lineup_derived,67,697.4,60.7,14.6,11.0,6.0,26.7,True,1,68.0,21.0,after_break,True
Jordan,Amer Saleem Saleem,89,on,lineup_derived,67,2137.0,152.2,19.8,48.0,10.0,27.1,True,1,68.0,21.0,after_break,False
Algeria,Zineddine BELAID,71,on,pdf_marker,68,2309.4,39.2,19.0,4.0,15.0,24.2,True,19,68.0,3.0,at_break,True
Algeria,Fares GHEDJEMIS,89,on,lineup_derived,68,300.0,73.2,4.3,5.0,4.0,26.1,True,1,68.0,21.0,after_break,True
Algeria,Samir CHERGUI,71,on,pdf_marker,68,2625.1,60.9,18.5,20.0,6.0,27.9,True,19,68.0,3.0,at_break,False
Austria,Kevin DANSO Third,62,on,pdf_marker,68,3326.7,72.4,11.6,24.0,4.0,26.4,True,28,68.0,-6.0,before_break,False
Austria,Florian GRILLITSCH,45,on,pdf_marker,68,5995.0,247.2,23.4,63.0,19.0,26.7,True,45,68.0,-23.0,before_break,False
Austria,Michael GREGORITSCH,45,on,pdf_marker,68,5373.6,231.8,61.0,20.0,14.0,25.0,True,45,68.0,-23.0,before_break,False
Austria,Sasa KALAJDZIC,89,on,lineup_derived,68,,,,,,,False,1,68.0,21.0,after_break,False
Austria,Paul WANNER,45,on,pdf_marker,68,5849.0,179.9,60.8,54.0,13.0,27.7,True,45,68.0,-23.0,before_break,False
Algeria,Rayan Ait-Nouri,71,on,lineup_derived,68,,,,,,,False,19,68.0,3.0,at_break,False
Colombia,Daniel MUNOZ,87,on,pdf_marker,69,1158.0,146.6,65.9,15.0,13.0,31.6,True,3,68.0,19.0,after_break,False
Colombia,Richard RIOS,60,on,pdf_marker,69,3786.7,232.6,112.7,55.0,20.0,31.0,True,30,68.0,-8.0,before_break,False
Colombia,Juan QUINTERO,76,on,pdf_marker,69,2192.1,83.7,63.1,27.0,5.0,31.0,True,14,68.0,8.0,after_break,False
Colombia,Luis SUAREZ,60,on,pdf_marker,69,3092.9,167.4,139.7,19.0,15.0,34.4,True,30,68.0,-8.0,before_break,False
Portugal,DIOGO DALOT,45,on,pdf_marker,69,4952.7,328.0,95.4,53.0,20.0,31.9,True,45,68.0,-23.0,before_break,False
Portugal,JOAO NEVES,45,on,pdf_marker,69,,,,,,,False,45,68.0,-23.0,before_break,False
Portugal,RAFAEL LEAO,70,on,pdf_marker,69,2331.9,143.6,163.9,18.0,11.0,34.9,True,20,68.0,2.0,at_break,False
Portugal,SAMU COSTA,70,on,pdf_marker,69,2859.9,119.9,89.3,33.0,7.0,30.6,True,20,68.0,2.0,at_break,False
Colombia,Kevin Duvan Castano,76,on,lineup_derived,69,2192.8,158.4,9.2,31.0,9.0,25.4,True,14,68.0,8.0,after_break,False
Portugal,Luiz Matheus,89,on,lineup_derived,69,432.8,22.3,6.0,2.0,15.0,23.3,True,1,68.0,21.0,after_break,True
Congo DR,Ngalayel MUKAU,72,on,pdf_marker,70,3203.1,76.0,51.0,9.0,10.0,24.8,True,18,70.0,2.0,at_break,True
Congo DR,Theo BONGONDA,72,on,pdf_marker,70,,,,,,,False,18,70.0,2.0,at_break,False
Congo DR,Joris KAYEMBE,83,on,pdf_marker,70,1824.8,163.4,56.9,24.0,9.0,28.7,True,7,70.0,13.0,after_break,False
Congo DR,Meschack ELIA,72,on,pdf_marker,70,3143.3,223.9,84.2,41.0,23.0,30.6,True,18,70.0,2.0,at_break,False
Congo DR,Fiston MAYELE,51,on,pdf_marker,70,4982.1,327.2,152.6,65.0,32.0,32.9,True,39,70.0,-19.0,before_break,False
