team,player,minute,direction,source,match_id
Türkiye,Kerem AKTURKOGLU,45,off,pdf_marker,32
Türkiye,Yunus AKGUN,60,off,pdf_marker,32
Türkiye,Ferdi KADIOGLU,70,off,pdf_marker,32
Türkiye,Orkun KOKCU,86,on,pdf_marker,32
Türkiye,Deniz GUL,60,on,pdf_marker,32
Türkiye,Eren ELMALI,70,on,lineup_derived,32
Türkiye,Can UZUN,60,on,pdf_marker,32
Paraguay,Juan Jose CACERES,81,off,pdf_marker,32
Paraguay,Diego GOMEZ,67,off,pdf_marker,32
Paraguay,Isidro PITTA,45,off,pdf_marker,32
Paraguay,Gustavo VELAZQUEZ,67,on,pdf_marker,32
Paraguay,Jose CANALE,89,on,lineup_derived,32
Paraguay,Damian BOBADILLA,45,on,pdf_marker,32
Paraguay,Gabriel AVALOS,89,on,lineup_derived,32
Paraguay,Alexandro MAIDANA,81,on,pdf_marker,32
Türkiye,Abdülker Bardakci,86,off,lineup_derived,32
Türkiye,Ismailİsma Yuksek,60,off,lineup_derived,32
Türkiye,Barı ş Alper Yilmaz,46,on,lineup_derived,32
Germany,Aleksandar PAVLOVIC,60,off,pdf_marker,33
Germany,Kai HAVERTZ,85,off,pdf_marker,33
Germany,Jamal MUSIALA,60,off,pdf_marker,33
Germany,Nico SCHLOTTERBECK,45,off,pdf_marker,33
Germany,Leroy SANE,60,off,pdf_marker,33
Germany,Antonio RUEDIGER,45,on,pdf_marker,33
Germany,Leon GORETZKA,85,on,pdf_marker,33
Germany,Jamie LEWELING,60,on,pdf_marker,33
Germany,Nadiem AMIRI,60,on,pdf_marker,33
Germany,Deniz UNDAV,60,on,pdf_marker,33
Côte d'Ivoire,Wilfried SINGO,81,off,pdf_marker,33
Côte d'Ivoire,Yan DIOMANDE,85,off,pdf_marker,33
Côte d'Ivoire,Amad DIALLO,75,off,pdf_marker,33
Côte d'Ivoire,Ibrahim SANGARE,75,off,pdf_marker,33
Côte d'Ivoire,Seko FOFANA,75,on,pdf_marker,33
Côte d'Ivoire,Simon ADINGRA,75,on,pdf_marker,33
Côte d'Ivoire,Guela DOUE,81,on,pdf_marker,33
