w,n_breaks,n_matches,pre,N,pred,C,ctrl,D,D_lo,D_hi,synth,synth_lo,synth_hi,A,A_lo,A_hi,N_lo,N_hi,C1,D1,D1_lo,D1_hi
3,148,92,0.2072072072072072,-0.19594594594594592,-0.1996996996996997,0.01801801801801801,-0.0014052278371163816,0.019423245855134406,-0.04309287684239699,0.08409033274452395,-0.20645912422228213,-0.23004615759874933,-0.18367634729343044,0.010513178276336174,-0.0340355773328068,0.054309563728702506,-0.2391365139577862,-0.15172413793103448,0.06531531531531531,0.06672054315243169,-0.00384193407409428,0.1426148649477247
5,148,92,0.22027027027027027,-0.11621621621621621,-0.1272972972972973,0.020270270270270264,-0.0031198257668845885,0.023390096037154858,-0.03422418510321257,0.08075059375299806,-0.12583282167840992,-0.14485683572087962,-0.10586089406941283,0.009616605462193699,-0.03427646239932762,0.05321382993240821,-0.15294117647058822,-0.08000000000000002,0.03513513513513514,0.03825496090201972,-0.020865322149176944,0.09789481372098399
8,148,92,0.21368243243243243,-0.05827702702702703,-0.07664695945945946,0.02956081081081081,-0.0269849847974848,0.056545795608295604,0.0009671945662712667,0.1134646173415705,-0.10260036510036509,-0.12870993559208788,-0.0770137034168284,0.04432333807333807,-0.005408910250316499,0.09536149425498916,-0.09184116354875284,-0.02482876712328767,0.03547297297297297,0.06245795777045777,0.004847952940316856,0.12169454120199157
10,148,92,0.22297297297297297,-0.05,-0.06385135135135135,0.014189189189189193,-0.0470739976989977,0.06126318688818688,-0.0018010708830751914,0.1255573145506196,-0.10703667953667953,-0.1391209844155259,-0.07731476251214771,0.05703667953667953,0.0032018140589569186,0.11328770896656534,-0.08235492845786964,-0.01744445730155055,0.02837837837837838,0.07545237607737607,0.012536998010834964,0.1396432429263679
