match_id,break_number,half,start_minute,margin_bucket,n_candidates,total_change_adjusted_5,shot_diff_change_adjusted_5,balance_disruption_adjusted_5,sot_diff_change_adjusted_5,next_shot_within_w_adjusted_5,total_change_adjusted_8,shot_diff_change_adjusted_8,balance_disruption_adjusted_8,sot_diff_change_adjusted_8,next_shot_within_w_adjusted_8,total_change_adjusted_10,shot_diff_change_adjusted_10,balance_disruption_adjusted_10,sot_diff_change_adjusted_10,next_shot_within_w_adjusted_10,total_change_display_5,shot_diff_change_display_5,balance_disruption_display_5,sot_diff_change_display_5,next_shot_within_w_display_5,total_change_display_8,shot_diff_change_display_8,balance_disruption_display_8,sot_diff_change_display_8,next_shot_within_w_display_8,total_change_display_10,shot_diff_change_display_10,balance_disruption_display_10,sot_diff_change_display_10,next_shot_within_w_display_10
24,2,H2,69,-1,3,-1,1,1,1,0,-4,4,4,1,0,-6,2,2,-1,0,-1,1,1,1,0,-4,4,4,1,0,-6,2,2,-1,0
25,1,H1,23,0,5,-1,-1,1,-1,0,-1,-1,1,-1,0,-1,-1,1,-1,0,-1,-1,1,-1,0,-1,-1,1,-1,0,-1,-1,1,-1,0
25,2,H2,68,1,6,1,1,1,1,1,2,0,0,1,1,2,0,0,1,1,0,0,0,0,0,1,1,1,1,1,2,0,0,1,1
26,1,H1,23,1,4,-1,1,1,0,0,-1,1,1,0,0,-1,1,1,0,0,-1,1,1,0,0,-1,1,1,0,0,-1,1,1,0,0
26,2,H2,69,1,6,1,-3,3,-1,1,1,-3,3,-1,1,1,-3,3,-1,1,0,-2,2,-1,1,1,-3,3,-1,1,0,-2,2,-1,1
27,2,H2,68,2,3,1,1,1,-1,1,2,2,2,-1,1,3,3,3,-1,1,-1,-1,1,-1,0,0,0,0,-1,1,2,2,2,-1,1
28,1,H1,23,0,6,-2,-2,2,0,0,-2,-2,2,0,0,-2,-2,2,0,0,-2,-2,2,0,0,-2,-2,2,0,0,-2,-2,2,0,0
28,2,H2,69,0,6,0,2,2,2,1,-1,1,1,2,1,0,2,2,3,1,0,2,2,2,1,-1,1,1,2,1,-1,1,1,2,1
29,2,H2,69,2,6,-1,3,3,0,1,-2,4,4,1,1,-2,4,4,1,1,-2,2,2,0,0,-2,4,4,1,1,-2,4,4,1,1
30,1,H1,24,-1,6,0,0,0,0,1,0,0,0,0,1,1,-1,1,0,1,-1,1,1,0,0,0,0,0,0,1,0,0,0,0,1
30,2,H2,68,-1,5,-1,-1,1,0,0,-2,0,0,0,0,-2,0,0,0,0,-1,-1,1,0,0,-2,0,0,0,0,-2,0,0,0,0
31,1,H1,25,1,1,-1,-1,1,0,0,-1,-1,1,0,0,-1,-1,1,0,1,-1,-1,1,0,0,-1,-1,1,0,0,-2,-2,2,0,0
31,2,H2,68,2,5,-1,1,1,1,0,-2,2,2,1,0,-2,2,2,1,0,-1,1,1,1,0,-2,2,2,1,0,-2,2,2,1,0
32,1,H1,26,-1,8,0,0,0,1,1,2,0,0,0,1,2,0,0,0,1,0,0,0,1,1,-1,-1,1,1,1,1,1,1,1,1
32,2,H2,68,-1,5,2,2,2,0,1,1,1,1,-1,1,0,2,2,-1,1,0,0,0,0,1,0,0,0,-1,1,-1,1,1,-1,1
33,1,H1,25,0,7,1,-3,3,-1,1,0,-4,4,-1,1,1,-5,5,-2,1,1,-3,3,-1,1,0,-4,4,-1,1,0,-4,4,-1,1
34,1,H1,24,0,6,0,-2,2,1,1,0,-2,2,1,1,-1,-3,3,0,1,-1,-1,1,1,1,-1,-1,1,1,1,-1,-3,3,0,1
34,2,H2,68,0,5,-2,-4,4,-3,1,-3,-5,5,-3,1,-7,-3,3,-1,1,-4,-4,4,-2,1,-4,-6,6,-4,1,-8,-4,4,-2,1
36,1,H1,24,-1,6,1,-1,1,-1,1,1,-1,1,-1,1,1,-1,1,-1,1,0,0,0,0,0,1,-1,1,-1,1,1,-1,1,-1,1
36,2,H2,70,-2,7,-1,3,3,1,1,-2,4,4,1,1,-1,3,3,0,1,-1,3,3,1,1,-2,4,4,1,1,-2,4,4,1,1
37,1,H1,30,0,12,0,0,0,0,0,-1,-1,1,0,0,-1,-1,1,0,1,0,0,0,0,0,-1,-1,1,0,0,-2,-2,2,-1,0
37,2,H2,70,0,7,0,0,0,0,0,0,0,0,-1,1,-2,-2,2,-2,1,0,0,0,0,0,-1,1,1,0,0,-3,-1,1,-1,0
38,1,H1,22,1,1,-1,1,1,-2,1,-2,0,0,-3,1,-2,-2,2,-4,1,-1,1,1,-2,1,-2,0,0,-3,1,-3,-1,1,-4,1
39,2,H2,68,2,6,-1,-1,1,0,0,-1,-1,1,0,0,-1,-1,1,0,0,-1,-1,1,0,0,-1,-1,1,0,0,-1,-1,1,0,0
41,1,H1,23,1,1,2,-2,2,0,1,3,-1,1,0,1,1,-3,3,-1,1,2,-2,2,0,1,2,-2,2,0,1,1,-3,3,-1,1
42,1,H1,23,0,5,1,-1,1,0,1,0,0,0,0,1,-1,-1,1,0,1,1,-1,1,0,1,0,0,0,0,1,-1,-1,1,0,1
43,1,H1,23,0,5,-2,2,2,0,0,-1,3,3,1,1,-1,3,3,1,1,-2,2,2,0,0,-2,2,2,0,0,-1,3,3,1,1
43,2,H2,69,1,6,-1,1,1,0,1,-2,0,0,0,1,-2,0,0,0,1,-1,1,1,0,1,-2,0,0,0,1,-2,0,0,0,1
45,2,H2,69,2,3,2,2,2,0,1,2,2,2,0,1,1,1,1,-1,1,2,2,2,0,1,1,3,3,0,1,1,1,1,-1,1
46,1,H1,25,0,7,0,0,0,0,1,-1,-1,1,-1,1,-3,-3,3,-2,1,-1,-1,1,0,0,-1,-1,1,-1,1,-3,-3,3,-2,1
46,2,H2,68,0,5,2,0,0,0,1,2,0,0,0,1,2,0,0,0,1,0,0,0,0,0,2,0,0,0,1,2,0,0,0,1
47,1,H1,26,0,8,1,1,1,0,1,2,2,2,0,1,2,2,2,0,1,0,0,0,0,0,1,1,1,0,1,1,1,1,0,1
47,2,H2,70,0,7,-2,-2,2,-1,0,-3,-5,5,-1,1,-5,-7,7,-1,1,-2,-2,2,-1,0,-4,-4,4,-1,0,-5,-7,7,-1,1
48,1,H1,23,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,2,H2,69,-1,2,-2,-2,2,-1,0,0,0,0,-1,1,0,-2,2,-1,1,-2,-2,2,-1,0,-2,-2,2,-1,0,-2,-2,2,-1,1
49,1,H1,22,0,4,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1
50,1,H1,23,0,5,0,0,0,1,1,1,-1,1,1,1,0,-2,2,1,1,-2,-2,2,-1,0,0,0,0,1,1,-1,-1,1,1,1
51,1,H1,23,0,6,-1,1,1,1,0,-1,-1,1,-1,1,-1,-1,1,-1,1,-1,1,1,1,0,-2,0,0,0,0,-1,-1,1,-1,1
51,2,H2,71,2,1,0,0,0,-1,1,0,0,0,-1,1,0,0,0,-1,1,0,0,0,-1,1,0,0,0,-1,1,0,0,0,-1,1
52,1,H1,23,0,5,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,-1,-1,1,0,0,-2,-2,2,1,1,0,0,0,1,1
52,2,H2,69,1,6,1,1,1,0,1,5,5,5,2,1,4,6,6,2,1,0,0,0,0,0,1,1,1,0,1,1,3,3,1,1
53,1,H1,25,-1,5,1,1,1,0,1,1,3,3,0,1,2,2,2,0,1,0,0,0,0,0,0,2,2,0,1,0,2,2,0,1
53,2,H2,68,-2,3,1,1,1,-2,1,2,0,0,-3,1,0,2,2,-2,1,0,0,0,-2,1,1,1,1,-2,1,-2,4,4,-1,1
54,2,H2,68,0,5,1,3,3,0,1,4,6,6,0,1,3,5,5,-1,1,-1,1,1,0,0,1,3,3,0,1,3,5,5,-1,1
55,2,H2,67,0,5,-3,5,5,1,1,-4,6,6,2,1,-4,6,6,2,1,-3,5,5,1,1,-5,7,7,2,1,-4,6,6,2,1
56,1,H1,24,0,6,-1,1,1,0,0,-1,1,1,0,0,0,0,0,-1,1,-1,1,1,0,0,-1,1,1,0,0,-1,1,1,0,0
56,2,H2,68,0,5,0,0,0,0,0,-1,1,1,0,0,-3,3,3,0,0,0,0,0,0,0,-1,1,1,0,0,-3,3,3,0,0
57,1,H1,27,0,5,1,1,1,1,1,2,0,0,1,1,2,0,0,1,1,0,2,2,1,1,1,1,1,1,1,1,1,1,1,1
57,2,H2,69,0,6,2,0,0,-1,1,2,2,2,-1,1,2,2,2,-1,1,1,1,1,0,1,1,1,1,-2,1,2,2,2,-1,1
58,1,H1,23,-1,3,-1,1,1,0,0,-2,2,2,0,0,-3,1,1,0,0,-1,1,1,0,0,-2,2,2,0,0,-3,1,1,0,0
59,1,H1,23,-2,3,4,-4,4,1,1,4,-2,2,1,1,4,-2,2,1,1,0,0,0,1,1,3,-3,3,1,1,4,-2,2,1,1
60,1,H1,24,0,6,-1,-1,1,0,0,-1,-1,1,0,0,-2,-2,2,0,0,-1,-1,1,0,0,-1,-1,1,0,0,-2,-2,2,0,0
61,1,H1,24,0,6,2,-2,2,0,1,1,-1,1,0,1,-1,1,1,1,1,1,-1,1,0,1,1,-1,1,0,1,-1,1,1,1,1
61,2,H2,69,-2,6,1,3,3,1,1,0,4,4,2,1,-1,5,5,2,1,-1,1,1,1,1,-1,5,5,2,1,-2,6,6,2,1
62,2,H2,69,0,6,1,-1,1,0,1,0,-2,2,0,1,0,-2,2,0,1,0,0,0,0,1,0,-2,2,0,1,0,-2,2,0,1
63,1,H1,23,0,5,-1,1,1,0,0,-1,3,3,0,1,0,4,4,0,1,-1,1,1,0,0,-2,2,2,0,0,-1,3,3,0,1
63,2,H2,68,-1,6,-1,-1,1,0,0,-2,0,0,0,0,-2,0,0,0,0,-1,-1,1,0,0,-2,0,0,0,0,-2,0,0,0,0
64,1,H1,24,0,6,-1,-1,1,0,0,-1,1,1,0,1,-1,1,1,0,1,-1,-1,1,0,0,-2,0,0,0,0,-1,1,1,0,1
64,2,H2,69,0,6,2,4,4,2,1,3,5,5,2,1,3,5,5,2,1,0,2,2,2,1,2,4,4,2,1,3,5,5,2,1
65,1,H1,24,-1,4,-4,2,2,-1,1,-5,1,1,0,1,-5,1,1,0,1,-5,3,3,0,0,-6,2,2,0,1,-6,2,2,0,1
65,2,H2,68,-2,5,-1,1,1,1,1,0,2,2,1,1,0,2,2,1,1,-1,1,1,1,1,-1,1,1,1,1,-1,1,1,1,1
66,1,H1,23,1,1,-2,2,2,0,0,-2,2,2,0,1,-4,0,0,0,1,-2,2,2,0,0,-3,1,1,0,0,-4,0,0,0,1
68,1,H1,23,0,5,1,-1,1,-1,1,2,0,0,-1,1,3,1,1,-1,1,1,-1,1,-1,1,1,-1,1,-1,1,2,0,0,-1,1
69,1,H1,25,0,7,-2,0,0,1,0,-2,0,0,1,0,-3,-3,3,0,1,-2,0,0,1,0,-2,0,0,1,0,-4,-2,2,0,0
69,2,H2,68,0,5,-2,-2,2,0,1,-2,-4,4,0,1,-2,-4,4,0,1,-3,-3,3,0,1,-3,-3,3,0,1,-2,-4,4,0,1
71,1,H1,23,0,5,-1,3,3,0,1,0,2,2,0,1,0,2,2,-1,1,0,4,4,1,1,0,4,4,1,1,0,4,4,1,1
72,1,H1,25,0,7,1,1,1,2,1,1,1,1,2,1,1,1,1,2,1,0,0,0,1,1,1,1,1,2,1,0,0,0,2,1
72,2,H2,69,1,6,1,-1,1,-1,1,1,-1,1,-1,1,1,-1,1,-1,1,1,-1,1,-1,1,1,-1,1,-1,1,1,-1,1,-1,1
73,1,H1,23,0,5,-2,0,0,1,0,-3,1,1,1,0,-1,1,1,0,1,-2,0,0,1,0,-3,1,1,1,0,-3,1,1,1,0
73,2,H2,67,0,5,-1,3,3,0,1,0,0,0,-1,1,0,0,0,-1,1,-2,2,2,0,0,-2,2,2,0,1,-1,1,1,0,1
74,1,H1,23,0,5,2,-2,2,-1,1,2,0,0,0,1,1,-1,1,0,1,1,-1,1,0,1,1,-1,1,-1,1,-1,-3,3,-1,1
75,1,H1,23,0,5,0,0,0,0,0,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1
75,2,H2,70,0,3,-1,1,1,1,1,0,2,2,1,1,0,2,2,1,1,-2,0,0,0,0,-1,1,1,1,1,0,2,2,1,1
76,1,H1,22,0,5,-3,3,3,2,0,-3,3,3,2,0,-3,3,3,2,0,-3,3,3,2,0,-3,3,3,2,0,-3,3,3,2,0
76,2,H2,67,0,4,1,1,1,1,1,2,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1
77,1,H1,24,0,6,0,0,0,0,1,1,1,1,1,1,2,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
77,2,H2,68,-1,5,0,2,2,2,1,0,2,2,2,1,-1,1,1,2,1,-1,1,1,1,1,0,2,2,2,1,-1,1,1,2,1
78,1,H1,23,0,5,2,0,0,1,1,3,1,1,0,1,4,2,2,-1,1,1,-1,1,0,1,1,-1,1,0,1,2,0,0,-1,1
78,2,H2,68,2,2,-1,-1,1,1,1,-2,-2,2,0,1,-1,-1,1,1,1,-1,-1,1,1,1,-1,-1,1,1,1,-1,-1,1,1,1
79,2,H2,68,2,5,-1,-3,3,-1,1,-1,-3,3,-1,1,-1,-3,3,-1,1,-2,-2,2,-1,0,-1,-3,3,-1,1,-1,-3,3,-1,1
80,1,H1,23,-1,3,1,1,1,1,1,2,0,0,1,1,6,4,4,2,1,0,0,0,0,0,1,1,1,1,1,2,0,0,1,1
80,2,H2,68,-1,5,1,1,1,1,1,0,4,4,1,1,0,4,4,1,1,0,0,0,0,0,-1,3,3,1,1,-1,3,3,1,1
81,2,H2,70,-2,6,2,2,2,0,1,2,2,2,0,1,2,2,2,0,1,0,0,0,0,0,2,2,2,0,1,1,1,1,0,1
82,1,H1,23,0,5,0,0,0,0,0,0,0,0,0,0,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,1,0,0
82,2,H2,69,1,6,0,0,0,1,1,1,1,1,1,1,2,2,2,2,1,-1,1,1,1,1,0,0,0,1,1,1,1,1,1,1
83,1,H1,24,0,6,1,1,1,0,1,3,1,1,1,1,4,2,2,2,1,0,0,0,0,0,1,1,1,0,1,2,2,2,1,1
84,1,H1,24,0,6,0,-2,2,0,1,1,-1,1,0,1,0,-2,2,0,1,0,-2,2,0,1,0,-2,2,0,1,0,-2,2,0,1
85,1,H1,25,1,2,-1,-1,1,0,0,-2,0,0,0,0,-2,0,0,-1,1,-1,-1,1,0,0,-2,0,0,0,0,-3,-1,1,-1,0
85,2,H2,67,2,5,0,0,0,1,1,1,-1,1,1,1,2,0,0,1,1,-1,-1,1,0,0,0,0,0,1,1,1,-1,1,1,1
87,1,H1,25,0,7,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1
87,2,H2,73,0,1,-2,-4,4,-2,1,-2,-4,4,-2,1,-2,-4,4,-2,1,-2,-4,4,-2,1,-3,-5,5,-2,1,-3,-5,5,-2,1
88,2,H2,69,1,6,-1,3,3,0,1,0,4,4,0,1,1,5,5,1,1,-2,2,2,0,0,-1,3,3,0,1,-1,3,3,0,1
89,1,H1,23,0,5,1,3,3,0,1,2,2,2,0,1,2,2,2,0,1,1,3,3,0,1,1,3,3,0,1,2,2,2,0,1
90,1,H1,24,0,6,1,-1,1,0,1,0,-2,2,0,1,0,-2,2,0,1,1,-1,1,0,1,0,-2,2,0,1,0,-2,2,0,1
90,2,H2,68,-1,5,0,0,0,0,0,2,2,2,1,1,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1
91,1,H1,27,0,4,3,1,1,0,1,4,0,0,-1,1,6,2,2,0,1,1,1,1,0,1,3,1,1,0,1,4,0,0,-1,1
91,2,H2,68,0,5,0,0,0,-1,1,-2,-2,2,-1,1,-2,-4,4,-2,1,-1,1,1,0,0,-2,-2,2,-1,1,-3,-3,3,-1,1
92,1,H1,23,0,5,-1,-1,1,0,0,0,0,0,0,1,0,-2,2,-2,1,0,-2,2,-1,1,0,-2,2,-1,1,0,-2,2,-2,1
93,1,H1,23,0,5,0,0,0,0,1,-2,2,2,2,1,-3,3,3,2,1,-1,1,1,0,0,-2,2,2,2,1,-3,3,3,2,1
93,2,H2,68,0,5,2,2,2,0,1,2,2,2,0,1,1,1,1,0,1,0,0,0,0,1,0,4,4,0,1,1,1,1,0,1
94,1,H1,24,-1,2,1,1,1,0,1,2,0,0,0,1,2,0,0,0,1,0,0,0,0,0,1,1,1,0,1,2,0,0,0,1
96,1,H1,23,0,5,0,2,2,2,1,2,2,2,3,1,2,2,2,3,1,-1,1,1,1,0,0,2,2,2,1,2,2,2,3,1
96,2,H2,68,0,5,0,0,0,0,0,-2,0,0,0,0,-3,1,1,1,0,0,0,0,0,0,-2,0,0,0,0,-3,1,1,1,0
97,1,H1,29,0,11,2,2,2,0,1,2,2,2,0,1,0,0,0,0,1,0,0,0,-1,1,2,2,2,0,1,0,0,0,0,1
97,2,H2,67,2,1,-1,-1,1,-1,0,-2,-2,2,-2,0,-2,-2,2,-2,0,-1,-1,1,-1,0,-2,-2,2,-2,0,-2,-2,2,-2,0
98,1,H1,23,0,5,1,1,1,1,1,1,1,1,1,1,1,3,3,2,1,-1,-1,1,0,0,1,1,1,1,1,0,2,2,1,1
98,2,H2,67,0,5,1,1,1,0,1,-2,0,0,0,1,-2,0,0,0,1,0,0,0,0,0,-2,0,0,0,1,-2,0,0,0,1
99,1,H1,23,0,5,1,-1,1,0,1,1,-1,1,0,1,3,1,1,2,1,0,0,0,0,0,1,-1,1,0,1,1,-1,1,0,1
99,2,H2,68,0,5,2,2,2,0,1,2,2,2,0,1,2,2,2,0,1,0,0,0,0,0,2,2,2,0,1,2,2,2,0,1
102,1,H1,25,0,7,1,1,1,0,1,1,1,1,0,1,3,-1,1,0,1,0,0,0,0,0,1,1,1,0,1,1,1,1,0,1
102,2,H2,69,1,1,0,-4,4,-1,1,1,-3,3,-1,1,0,-2,2,-1,1,-3,-1,1,0,0,0,-4,4,-1,1,0,-2,2,-1,1
104,1,H1,25,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,2,H2,67,0,5,-3,-3,3,-2,0,-2,-2,2,0,1,-2,-2,2,0,1,-3,-3,3,-2,0,-4,-4,4,-2,0,-2,-2,2,0,1
